Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Senior Data Engineer,$93K-$149K (Glassdoor est.),3.3,"First Tech Federal Credit Union
3.3","San Jose, CA",1001 to 5000 employees,Finance,$100 to $500 million (USD)
Senior Data Modeler,$93K-$149K (Glassdoor est.),3.3,"First Tech Federal Credit Union
3.3","San Jose, CA",1001 to 5000 employees,Finance,$100 to $500 million (USD)
Data Scientist,$93K-$149K (Glassdoor est.),4.7,"C3.ai
4.7","Redwood City, CA",201 to 500 employees,Information Technology,$100 to $500 million (USD)
Data Scientist,$93K-$149K (Glassdoor est.),3.6,"Gigya
3.6","Palo Alto, CA",201 to 500 employees,Information Technology,$10 to $25 million (USD)
Senior Scientist/Scientist II - IVD,$93K-$149K (Glassdoor est.),3.5,"GRAIL
3.5","Menlo Park, CA",201 to 500 employees,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,$93K-$149K (Glassdoor est.),4.5,"Next Insurance
4.5","Palo Alto, CA",201 to 500 employees,Insurance,Unknown / Non-Applicable
Proteomics Applications Scientist,$93K-$149K (Glassdoor est.),3.2,"Bruker Corporation
3.2","San Jose, CA",5001 to 10000 employees,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
Data Scientist/Machine Learning,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Cupertino, CA",5001 to 10000 employees,Telecommunications,$2 to $5 billion (USD)
Data Engineer,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Cupertino, CA",5001 to 10000 employees,Telecommunications,$2 to $5 billion (USD)
HPC Systems and Data Engineer,$74K-$129K (Glassdoor est.),4.2,"University of California
4.2","San Diego, CA",10000+ employees,Education,$5 to $10 billion (USD)
"Scientist/Machine Learning Engineer, Applied Science",$93K-$149K (Glassdoor est.),3.8,"Amobee
3.8","Redwood City, CA",501 to 1000 employees,Business Services,$500 million to $1 billion (USD)
Data Scientist,$93K-$149K (Glassdoor est.),4.1,"Netskope
4.1","Santa Clara, CA",501 to 1000 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K-$149K (Glassdoor est.),4.5,"Architecture Technology Corporation
4.5","San Jose, CA",51 to 200 employees,Information Technology,$5 to $10 million (USD)
Principal Data Scientist with over 10 years experience,$93K-$149K (Glassdoor est.),,CA-One Tech Cloud,"San Francisco, CA",51 to 200 employees,Information Technology,$5 to $10 million (USD)
Data Scientist,$93K-$149K (Glassdoor est.),4.2,"Eversight
4.2","Palo Alto, CA",51 to 200 employees,Information Technology,$10 to $25 million (USD)
Data Scientist,$93K-$149K (Glassdoor est.),4.3,"Joby Aviation
4.3","San Carlos, CA",51 to 200 employees,,Unknown / Non-Applicable
Wi-Fi Senior Data Scientist,$93K-$149K (Glassdoor est.),4.1,"Plume
4.1","Palo Alto, CA",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Cyber Security Senior Data Scientist,$93K-$149K (Glassdoor est.),4.1,"Plume
4.1","Palo Alto, CA",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Data Engineer Intern (Remote),$93K-$149K (Glassdoor est.),3.9,"Pluto7
3.9","San Jose, CA",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Lead Data Scientist,$93K-$149K (Glassdoor est.),4.5,"Strivr
4.5","Palo Alto, CA",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K-$149K (Glassdoor est.),2.8,"Waymo
2.8","Mountain View, CA",Unknown,Information Technology,Unknown / Non-Applicable
Data Crawler Engineer,$93K-$151K (Glassdoor est.),,BuildGroup Data Services,"Austin, TX",,,
Data Engineer I,$93K-$151K (Glassdoor est.),,GHR Technology,"Philadelphia, PA",,,
Unpaid Internship for Data Driven Sports Consulting Position,$93K-$151K (Glassdoor est.),3.7,"EDGE10 Group
3.7","Austin, TX",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K-$151K (Glassdoor est.),3.2,"Numeric, LLC
3.2","Philadelphia, PA",1 to 50 employees,Business Services,$5 to $10 million (USD)
Business Intelligence Analyst,$93K-$151K (Glassdoor est.),,Simplex,"Austin, TX",1 to 50 employees,Business Services,Less than $1 million (USD)
Federal - Data Scientist,$93K-$151K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Philadelphia, PA",1 to 50 employees,Information Technology,$10 to $25 million (USD)
Big Data Engineer,$93K-$151K (Glassdoor est.),4.5,"SpringML
4.5","Austin, TX",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,$93K-$151K (Glassdoor est.),4.4,"Stratagem Group
4.4","Valley Forge, PA",1 to 50 employees,Aerospace & Defense,Unknown / Non-Applicable
Data Analyst,$93K-$151K (Glassdoor est.),4.7,"STRATIS IoT Inc
4.7","Philadelphia, PA",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Data Scientist - Nationwide Opportunities,$93K-$151K (Glassdoor est.),3.9,"Amazon
3.9","Philadelphia, PA",10000+ employees,Information Technology,$10+ billion (USD)
Research Scientist - Data Science (Earth & Atmospheric Sciences),$90K-$175K (Glassdoor est.),4.4,"University of Houston
4.4","Houston, TX",10000+ employees,Education,$500 million to $1 billion (USD)
"Research Scientist, USC Schaeffer Center",$134K-$218K (Glassdoor est.),4.2,"University of Southern California
4.2","Los Angeles, CA",10000+ employees,Education,$2 to $5 billion (USD)
Clinical Research Data Manager,$39K-$69K (Glassdoor est.),4.2,"University of Southern California
4.2","San Diego, CA",10000+ employees,Education,$2 to $5 billion (USD)
Clinical Research Data Specialist II,$62K-$127K (Glassdoor est.),4.2,"University of Southern California
4.2","San Diego, CA",10000+ employees,Education,$2 to $5 billion (USD)
"Real World Science, Data Scientist",$93K-$151K (Glassdoor est.),4,"AstraZeneca
4.0","Wilmington, DE",10000+ employees,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.6,"Comcast
3.6","Philadelphia, PA",10000+ employees,,$10+ billion (USD)
Data Analyst,$93K-$151K (Glassdoor est.),3.2,"Fresenius Medical Care
3.2","Austin, TX",10000+ employees,Manufacturing,Unknown / Non-Applicable
Principal Data Scientist- Public Sector,$93K-$151K (Glassdoor est.),3.7,"IBM
3.7","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Quantum Principal Data Scientist (Industrial-Process sector),$93K-$151K (Glassdoor est.),3.7,"IBM
3.7","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Research Scientist,$76K-$122K (Glassdoor est.),4.2,"University of Southern California
4.2","Los Angeles, CA",10000+ employees,Education,$2 to $5 billion (USD)
"Principal Data Scientist-Developer Experience (SDK, CLI, Developer Services (Join OCI-SDE)",$93K-$151K (Glassdoor est.),3.6,"Oracle
3.6","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.2,"QVC, Inc.
3.2","West Chester, PA",10000+ employees,Retail,$5 to $10 billion (USD)
Junior Data Analyst,$93K-$151K (Glassdoor est.),2.8,"Texas Health & Human Services Commission
2.8","Austin, TX",10000+ employees,Government,Unknown / Non-Applicable
"Research Engineering/Scientist Associate II, Department of Pediatrics, Dell Medical School",$41K-$66K (Glassdoor est.),4.3,"University of Texas at Austin
4.3","Austin, TX",10000+ employees,Education,$1 to $2 billion (USD)
"Tenured/Tenure-Track Professor, Department of Statistics & Data Sciences",$73K-$111K (Glassdoor est.),4.3,"University of Texas at Austin
4.3","Austin, TX",10000+ employees,Education,$1 to $2 billion (USD)
Research Scientist Associate IV,$43K-$76K (Glassdoor est.),4.1,"University of Texas at San Antonio
4.1","San Antonio, TX",1001 to 5000 employees,Education,$500 million to $1 billion (USD)
Data Scientist,$93K-$151K (Glassdoor est.),3.4,"Thermo Fisher Scientific
3.4","Philadelphia, PA",10000+ employees,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$93K-$151K (Glassdoor est.),4.3,"University of Pennsylvania
4.3","Philadelphia, PA",10000+ employees,Education,Unknown / Non-Applicable
Data Scientist I,$93K-$151K (Glassdoor est.),3.7,"Children's Hospital of Philadelphia
3.7","Philadelphia, PA",1001 to 5000 employees,Health Care,$50 to $100 million (USD)
Data Scientist - Domain Intelligence & Client Security,$93K-$151K (Glassdoor est.),3.7,"CloudFlare
3.7","Austin, TX",1001 to 5000 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K-$151K (Glassdoor est.),3.1,"Gryphon Technologies
3.1","Philadelphia, PA",1001 to 5000 employees,Aerospace & Defense,$100 to $500 million (USD)
